Dataset,Description,Category,ID
25603,Weighted-mean L2 in tract parahippocampal part of cingulum (right),Weighted-mean L2,1552
25615,Weighted-mean L2 in tract posterior thalamic radiation (left),Weighted-mean L2,1553
25616,Weighted-mean L2 in tract posterior thalamic radiation (right),Weighted-mean L2,1554
25617,Weighted-mean L2 in tract superior longitudinal fasciculus (left),Weighted-mean L2,1555
25618,Weighted-mean L2 in tract superior longitudinal fasciculus (right),Weighted-mean L2,1556
25619,Weighted-mean L2 in tract superior thalamic radiation (left),Weighted-mean L2,1557
25620,Weighted-mean L2 in tract superior thalamic radiation (right),Weighted-mean L2,1558
25621,Weighted-mean L2 in tract uncinate fasciculus (left),Weighted-mean L2,1559
25622,Weighted-mean L2 in tract uncinate fasciculus (right),Weighted-mean L2,1560
25623,Weighted-mean L3 in tract acoustic radiation (left),Weighted-mean L3,1561
25624,Weighted-mean L3 in tract acoustic radiation (right),Weighted-mean L3,1562
25625,Weighted-mean L3 in tract anterior thalamic radiation (left),Weighted-mean L3,1563
25626,Weighted-mean L3 in tract anterior thalamic radiation (right),Weighted-mean L3,1564
25627,Weighted-mean L3 in tract cingulate gyrus part of cingulum (left),Weighted-mean L3,1565
25628,Weighted-mean L3 in tract cingulate gyrus part of cingulum (right),Weighted-mean L3,1566
25631,Weighted-mean L3 in tract corticospinal tract (left),Weighted-mean L3,1567
25632,Weighted-mean L3 in tract corticospinal tract (right),Weighted-mean L3,1568
25633,Weighted-mean L3 in tract forceps major,Weighted-mean L3,1569
25634,Weighted-mean L3 in tract forceps minor,Weighted-mean L3,1570
25635,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (left),Weighted-mean L3,1571
25636,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (right),Weighted-mean L3,1572
25637,Weighted-mean L3 in tract inferior longitudinal fasciculus (left),Weighted-mean L3,1573
25638,Weighted-mean L3 in tract inferior longitudinal fasciculus (right),Weighted-mean L3,1574
25640,Weighted-mean L3 in tract medial lemniscus (left),Weighted-mean L3,1575
25641,Weighted-mean L3 in tract medial lemniscus (right),Weighted-mean L3,1576
25639,Weighted-mean L3 in tract middle cerebellar peduncle,Weighted-mean L3,1577
25629,Weighted-mean L3 in tract parahippocampal part of cingulum (left),Weighted-mean L3,1578
25630,Weighted-mean L3 in tract parahippocampal part of cingulum (right),Weighted-mean L3,1579
25642,Weighted-mean L3 in tract posterior thalamic radiation (left),Weighted-mean L3,1580
25643,Weighted-mean L3 in tract posterior thalamic radiation (right),Weighted-mean L3,1581
25644,Weighted-mean L3 in tract superior longitudinal fasciculus (left),Weighted-mean L3,1582
25645,Weighted-mean L3 in tract superior longitudinal fasciculus (right),Weighted-mean L3,1583
25646,Weighted-mean L3 in tract superior thalamic radiation (left),Weighted-mean L3,1584
25647,Weighted-mean L3 in tract superior thalamic radiation (right),Weighted-mean L3,1585
25648,Weighted-mean L3 in tract uncinate fasciculus (left),Weighted-mean L3,1586
25649,Weighted-mean L3 in tract uncinate fasciculus (right),Weighted-mean L3,1587
25515,Weighted-mean MD in tract acoustic radiation (left),Weighted-mean MD,1588
25516,Weighted-mean MD in tract acoustic radiation (right),Weighted-mean MD,1589
25517,Weighted-mean MD in tract anterior thalamic radiation (left),Weighted-mean MD,1590
25518,Weighted-mean MD in tract anterior thalamic radiation (right),Weighted-mean MD,1591
25519,Weighted-mean MD in tract cingulate gyrus part of cingulum (left),Weighted-mean MD,1592
25520,Weighted-mean MD in tract cingulate gyrus part of cingulum (right),Weighted-mean MD,1593
25523,Weighted-mean MD in tract corticospinal tract (left),Weighted-mean MD,1594
25524,Weighted-mean MD in tract corticospinal tract (right),Weighted-mean MD,1595
25525,Weighted-mean MD in tract forceps major,Weighted-mean MD,1596
25526,Weighted-mean MD in tract forceps minor,Weighted-mean MD,1597
25527,Weighted-mean MD in tract inferior fronto-occipital fasciculus (left),Weighted-mean MD,1598
25528,Weighted-mean MD in tract inferior fronto-occipital fasciculus (right),Weighted-mean MD,1599
25529,Weighted-mean MD in tract inferior longitudinal fasciculus (left),Weighted-mean MD,1600
25530,Weighted-mean MD in tract inferior longitudinal fasciculus (right),Weighted-mean MD,1601
25532,Weighted-mean MD in tract medial lemniscus (left),Weighted-mean MD,1602
25533,Weighted-mean MD in tract medial lemniscus (right),Weighted-mean MD,1603
25531,Weighted-mean MD in tract middle cerebellar peduncle,Weighted-mean MD,1604
25521,Weighted-mean MD in tract parahippocampal part of cingulum (left),Weighted-mean MD,1605
25522,Weighted-mean MD in tract parahippocampal part of cingulum (right),Weighted-mean MD,1606
25534,Weighted-mean MD in tract posterior thalamic radiation (left),Weighted-mean MD,1607
25535,Weighted-mean MD in tract posterior thalamic radiation (right),Weighted-mean MD,1608
25536,Weighted-mean MD in tract superior longitudinal fasciculus (left),Weighted-mean MD,1609
25537,Weighted-mean MD in tract superior longitudinal fasciculus (right),Weighted-mean MD,1610
25538,Weighted-mean MD in tract superior thalamic radiation (left),Weighted-mean MD,1611
25539,Weighted-mean MD in tract superior thalamic radiation (right),Weighted-mean MD,1612
25540,Weighted-mean MD in tract uncinate fasciculus (left),Weighted-mean MD,1613
25541,Weighted-mean MD in tract uncinate fasciculus (right),Weighted-mean MD,1614
25542,Weighted-mean MO in tract acoustic radiation (left),Weighted-mean MO,1615
25543,Weighted-mean MO in tract acoustic radiation (right),Weighted-mean MO,1616
25544,Weighted-mean MO in tract anterior thalamic radiation (left),Weighted-mean MO,1617
25545,Weighted-mean MO in tract anterior thalamic radiation (right),Weighted-mean MO,1618
25546,Weighted-mean MO in tract cingulate gyrus part of cingulum (left),Weighted-mean MO,1619
25547,Weighted-mean MO in tract cingulate gyrus part of cingulum (right),Weighted-mean MO,1620
25550,Weighted-mean MO in tract corticospinal tract (left),Weighted-mean MO,1621
25551,Weighted-mean MO in tract corticospinal tract (right),Weighted-mean MO,1622
25552,Weighted-mean MO in tract forceps major,Weighted-mean MO,1623
25553,Weighted-mean MO in tract forceps minor,Weighted-mean MO,1624
25554,Weighted-mean MO in tract inferior fronto-occipital fasciculus (left),Weighted-mean MO,1625
25555,Weighted-mean MO in tract inferior fronto-occipital fasciculus (right),Weighted-mean MO,1626
25556,Weighted-mean MO in tract inferior longitudinal fasciculus (left),Weighted-mean MO,1627
25557,Weighted-mean MO in tract inferior longitudinal fasciculus (right),Weighted-mean MO,1628
25559,Weighted-mean MO in tract medial lemniscus (left),Weighted-mean MO,1629
25560,Weighted-mean MO in tract medial lemniscus (right),Weighted-mean MO,1630
25558,Weighted-mean MO in tract middle cerebellar peduncle,Weighted-mean MO,1631
25548,Weighted-mean MO in tract parahippocampal part of cingulum (left),Weighted-mean MO,1632
25549,Weighted-mean MO in tract parahippocampal part of cingulum (right),Weighted-mean MO,1633
25561,Weighted-mean MO in tract posterior thalamic radiation (left),Weighted-mean MO,1634
25562,Weighted-mean MO in tract posterior thalamic radiation (right),Weighted-mean MO,1635
25563,Weighted-mean MO in tract superior longitudinal fasciculus (left),Weighted-mean MO,1636
25564,Weighted-mean MO in tract superior longitudinal fasciculus (right),Weighted-mean MO,1637
25565,Weighted-mean MO in tract superior thalamic radiation (left),Weighted-mean MO,1638
25566,Weighted-mean MO in tract superior thalamic radiation (right),Weighted-mean MO,1639
25567,Weighted-mean MO in tract uncinate fasciculus (left),Weighted-mean MO,1640
25568,Weighted-mean MO in tract uncinate fasciculus (right),Weighted-mean MO,1641
25677,Weighted-mean OD in tract acoustic radiation (left),Weighted-mean OD,1642
25678,Weighted-mean OD in tract acoustic radiation (right),Weighted-mean OD,1643
25679,Weighted-mean OD in tract anterior thalamic radiation (left),Weighted-mean OD,1644
25680,Weighted-mean OD in tract anterior thalamic radiation (right),Weighted-mean OD,1645
25681,Weighted-mean OD in tract cingulate gyrus part of cingulum (left),Weighted-mean OD,1646
25682,Weighted-mean OD in tract cingulate gyrus part of cingulum (right),Weighted-mean OD,1647
25685,Weighted-mean OD in tract corticospinal tract (left),Weighted-mean OD,1648
25686,Weighted-mean OD in tract corticospinal tract (right),Weighted-mean OD,1649
25687,Weighted-mean OD in tract forceps major,Weighted-mean OD,1650
25688,Weighted-mean OD in tract forceps minor,Weighted-mean OD,1651
25689,Weighted-mean OD in tract inferior fronto-occipital fasciculus (left),Weighted-mean OD,1652
25690,Weighted-mean OD in tract inferior fronto-occipital fasciculus (right),Weighted-mean OD,1653
25691,Weighted-mean OD in tract inferior longitudinal fasciculus (left),Weighted-mean OD,1654
25692,Weighted-mean OD in tract inferior longitudinal fasciculus (right),Weighted-mean OD,1655
25694,Weighted-mean OD in tract medial lemniscus (left),Weighted-mean OD,1656
25695,Weighted-mean OD in tract medial lemniscus (right),Weighted-mean OD,1657
25693,Weighted-mean OD in tract middle cerebellar peduncle,Weighted-mean OD,1658
25683,Weighted-mean OD in tract parahippocampal part of cingulum (left),Weighted-mean OD,1659
25684,Weighted-mean OD in tract parahippocampal part of cingulum (right),Weighted-mean OD,1660
25696,Weighted-mean OD in tract posterior thalamic radiation (left),Weighted-mean OD,1661
25697,Weighted-mean OD in tract posterior thalamic radiation (right),Weighted-mean OD,1662
25698,Weighted-mean OD in tract superior longitudinal fasciculus (left),Weighted-mean OD,1663
25699,Weighted-mean OD in tract superior longitudinal fasciculus (right),Weighted-mean OD,1664
25700,Weighted-mean OD in tract superior thalamic radiation (left),Weighted-mean OD,1665
25701,Weighted-mean OD in tract superior thalamic radiation (right),Weighted-mean OD,1666
25702,Weighted-mean OD in tract uncinate fasciculus (left),Weighted-mean OD,1667
25703,Weighted-mean OD in tract uncinate fasciculus (right),Weighted-mean OD,1668
25079,Mean FA in anterior corona radiata on FA skeleton (left),Mean FA,1669
25078,Mean FA in anterior corona radiata on FA skeleton (right),Mean FA,1670
25073,Mean FA in anterior limb of internal capsule on FA skeleton (left),Mean FA,1671
25072,Mean FA in anterior limb of internal capsule on FA skeleton (right),Mean FA,1672
25059,Mean FA in body of corpus callosum on FA skeleton,Mean FA,1673
25071,Mean FA in cerebral peduncle on FA skeleton (left),Mean FA,1674
25070,Mean FA in cerebral peduncle on FA skeleton (right),Mean FA,1675
25091,Mean FA in cingulum cingulate gyrus on FA skeleton (left),Mean FA,1676
25090,Mean FA in cingulum cingulate gyrus on FA skeleton (right),Mean FA,1677
25093,Mean FA in cingulum hippocampus on FA skeleton (left),Mean FA,1678
25092,Mean FA in cingulum hippocampus on FA skeleton (right),Mean FA,1679
25063,Mean FA in corticospinal tract on FA skeleton (left),Mean FA,1680
25062,Mean FA in corticospinal tract on FA skeleton (right),Mean FA,1681
25089,Mean FA in external capsule on FA skeleton (left),Mean FA,1682
25088,Mean FA in external capsule on FA skeleton (right),Mean FA,1683
25095,Mean FA in fornix cres+stria terminalis on FA skeleton (left),Mean FA,1684
25094,Mean FA in fornix cres+stria terminalis on FA skeleton (right),Mean FA,1685
25061,Mean FA in fornix on FA skeleton,Mean FA,1686
25058,Mean FA in genu of corpus callosum on FA skeleton,Mean FA,1687
25067,Mean FA in inferior cerebellar peduncle on FA skeleton (left),Mean FA,1688
25066,Mean FA in inferior cerebellar peduncle on FA skeleton (right),Mean FA,1689
25065,Mean FA in medial lemniscus on FA skeleton (left),Mean FA,1690
25064,Mean FA in medial lemniscus on FA skeleton (right),Mean FA,1691
25056,Mean FA in middle cerebellar peduncle on FA skeleton,Mean FA,1692
25057,Mean FA in pontine crossing tract on FA skeleton,Mean FA,1693
25083,Mean FA in posterior corona radiata on FA skeleton (left),Mean FA,1694
25082,Mean FA in posterior corona radiata on FA skeleton (right),Mean FA,1695
25075,Mean FA in posterior limb of internal capsule on FA skeleton (left),Mean FA,1696
25074,Mean FA in posterior limb of internal capsule on FA skeleton (right),Mean FA,1697
25085,Mean FA in posterior thalamic radiation on FA skeleton (left),Mean FA,1698
25084,Mean FA in posterior thalamic radiation on FA skeleton (right),Mean FA,1699
25077,Mean FA in retrolenticular part of internal capsule on FA skeleton (left),Mean FA,1700
25076,Mean FA in retrolenticular part of internal capsule on FA skeleton (right),Mean FA,1701
25087,Mean FA in sagittal stratum on FA skeleton (left),Mean FA,1702
25086,Mean FA in sagittal stratum on FA skeleton (right),Mean FA,1703
25060,Mean FA in splenium of corpus callosum on FA skeleton,Mean FA,1704
